Name	Resource Type	Domain	Site Code	Client	Approved	Assigned	Blocked	Client Type	Obsolete	Active	
52XLWUW3-OS1KCL	System	AREA52	XLW	No	Approved	Yes	No				
52XLWUW3-430XX9	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-47044T	System	AREA52	XLW	No	Approved	Yes	No				
XLWUW-431KN5	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-490W7N	System	AREA52	XLW	No	Approved	Yes	No				
XLWUT-491171	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-03286S	System	AREA52	XLW	No	Approved	Yes	No				
52XLWUW3-242CVC	System	AREA52	XLW	No	Approved	Yes	No				
52XLWUW3-432082	System	AREA52	XLW	No	Approved	Yes	No				
XLWUW-4319SM	System	AREA52	XLW	No	Approved	Yes	No				
52XLWUW3-432017	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-490W5K	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-410JF4	System	AREA52	XLW	No	Approved	Yes	No				
TYNMDGSGWK006P3	System	AREA52	XLW	No	Approved	Yes	No				
XLWUW-410Y45	System	AREA52	XLW	No	Approved	Yes	No				
XLWUW-290T26	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-41039V	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-490WFP	System	AREA52	XLW	No	Approved	Yes	No				
XLWUW-121X8B	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-491DW9	System	AREA52	XLW	No	Approved	Yes	No				
XLWUW-432L75	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-03MPZX	System	AREA52	XLW	No	Approved	Yes	No				
52XLWUW3-350Q2P	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-0327TG	System	AREA52	XLW	No	Approved	Yes	No				
XLWUW-430XZM	System	AREA52	XLW	No	Approved	Yes	No				
XLWUW-451KCL	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-491MR7	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-4221L4	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-490W5F	System	AREA52	XLW	No	Approved	Yes	No				
52XLWUW3-43205X	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-490W9B	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-491QGJ	System	AREA52	XLW	No	Approved	Yes	No				
TYNLMSI5WK7C403	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-PK0WFZ	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-022D41	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-491DW5	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-4021GC	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-022D3Y	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-520SY7	System	AREA52	XLW	No	Approved	Yes	No				
52XLWUW3-3906YC	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-490W4V	System	AREA52	XLW	No	Approved	Yes	No				
TYNDS2XWKM5503	System	AREA52	XLW	No	Approved	Yes	No				
XLWUW-FM03ZR	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-022DPH	System	AREA52	XLW	No	Approved	Yes	No				
52XLWUW3-431KNJ	System	AREA52	XLW	No	Approved	Yes	No				
