"Plugin","Plugin Name","IP Address","NetBIOS Name","DNS Name"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.232.38","","xlwuw-121n7z.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.232.43","","xlwuw-1016pt.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.232.52","","xlwuw-1016k1.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.232.62","","xlwuw-101697.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.232.67","","xlwuw-1016qv.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.235.24","","xlwuw-081kv7.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.235.47","","xlwuw-121ndl.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.248.35","AREA52\52XLWU-BS-002V","52xlwu-bs-002v.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.248.39","AREA52\52XLWU-FS-012","52xlwu-fs-012.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.248.49","AREA52\TYNCESAAPSPD02","tyncesaapspd02.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.248.51","AREA52\52XLWU-VM-002P","52xlwu-vm-002p.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.248.52","AREA52\52XLWU-FS-001V","52xlwu-fs-001v.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.248.54","AREA52\52XLWU-VM-001P","52xlwu-vm-001p.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.248.68","AREA52\XLWU-SM-002","xlwu-sm-002.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.248.101","AREA52\52XLWU-DB-001V","52xlwu-db-001v.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.248.126","AREA52\52XLWU-BS-001V","52xlwu-bs-001v.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.249.6","AREA52\XLWU-FS-DFS1V","xlwu-fs-dfs1v.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.249.10","AREA52\XLWU-DB-001V",""
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.249.12","AREA52\XLWU-DB-002V","xlwu-db-002v.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.249.75","UNKNOWN\52XLWU-WS-001","52xlwu-ws-001.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.249.76","UNKNOWN\52XLWU-ORA-001","52xlwu-ora-001.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.249.77","UNKNOWN\52XLWU-FS-001","52xlwu-fs-001.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.249.78","AREA52\52XLWU-CL01-01","52xlwu-cl01-01.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.249.79","AREA52\52XLWU-CL01-02","52xlwu-cl01-02.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.249.82","AREA52\52XLWU-AS-PX01P","52xlwu-as-px01p.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.249.83","AREA52\52XLWU-DB-PX02P","52xlwu-db-px02p.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.249.96","AREA52\52XLWU-PS-001P","52xlwu-ps-001p.area52.afnoapps.usaf.mil"
